%,Turnout,Incumb_Y,State,Cln_name,Year,Terms_in_office,Party_enc,First_name,Seats_up%,Seats_before%,Gender
66.1,233985.0,1,Alabama,Oscar Underwood,1920,1,D,Oscar,0.3617021276595745,0.4895833333333333,M
33.05,233985.0,0,Alabama,Reynolds,1920,0,R,Reynolds,0.30612244897959184,0.5104166666666666,M
0.85,233985.0,0,Alabama,Forsman,1920,0,S,Forsman,0.0,0.0,F
69.27,231960.0,0,Alabama,James Thomas Heflin,1920,0,D,Thomas,0.3617021276595745,0.4895833333333333,M
29.51,231960.0,0,Alabama,Lunsford,1920,0,R,Lunsford,0.30612244897959184,0.5104166666666666,M
1.22,231960.0,0,Alabama,Chichester,1920,0,S,Chichester,0.0,0.0,M
55.17,65062.0,0,Arizona,Ralph Cameron,1920,0,R,Ralph,0.30612244897959184,0.5104166666666666,M
44.83,65062.0,1,Arizona,Marcus Smith,1920,2,D,Marcus,0.3617021276595745,0.4895833333333333,M
65.92,191858.0,0,Arkansas,Thaddeus Caraway,1920,0,D,Thaddeus,0.3617021276595745,0.4895833333333333,M
34.08,191858.0,0,Arkansas,Charles Cole,1920,0,R,Charles,0.30612244897959184,0.5104166666666666,M
49.01,913728.0,0,California,Samuel Shortridge,1920,0,R,Samuel,0.30612244897959184,0.5104166666666666,M
40.67,913728.0,1,California,James Phelan,1920,1,D,James,0.3617021276595745,0.4895833333333333,M
6.32,913728.0,0,California,James Edwards,1920,0,T,James,0.0,0.0,M
4.0,913728.0,0,California,Elvina Beals,1920,0,S,Elvina,0.0,0.0,F
54.52,287173.0,0,California,Samuel Nicholson,1920,0,R,Samuel,0.30612244897959184,0.5104166666666666,M
39.31,287173.0,0,California,Tully Scott,1920,0,D,Tully,0.3617021276595745,0.4895833333333333,M
3.15,287173.0,0,California,Stevens,1920,0,T,Stevens,0.0,0.0,M
3.02,287173.0,1,California,Charles Thomas,1920,2,D,Charles,0.3617021276595745,0.4895833333333333,M
59.36,365188.0,1,Connecticut,Frank Brandegee,1920,2,R,Frank,0.30612244897959184,0.5104166666666666,M
36.1,365188.0,0,Connecticut,Augustine Lonergan,1920,0,D,Augustine,0.3617021276595745,0.4895833333333333,M
2.77,365188.0,0,Connecticut,Martin Plunkett,1920,0,S,Martin,0.0,0.0,M
0.79,365188.0,0,Connecticut,Emil Hohenthal,1920,0,T,Emil,0.0,0.0,M
0.57,365188.0,0,Connecticut,Josephine Bennett,1920,0,T,Josephine,0.0,0.0,F
0.41,365188.0,0,Connecticut,Charles Backofen,1920,0,S,Charles,0.0,0.0,M
69.5,142394.0,1,Florida,Duncan Fletcher,1920,2,D,Duncan,0.3617021276595745,0.4895833333333333,M
26.03,142394.0,0,Florida,John Moses Cheney,1920,0,R,Moses,0.30612244897959184,0.5104166666666666,M
2.48,142394.0,0,Florida,Martin,1920,0,S,Martin,0.0,0.0,M
2.0,142394.0,0,Florida,Klock,1920,0,T,Klock,0.0,0.0,M
94.9,131330.0,0,Florida,Thomas Watson,1920,0,D,Thomas,0.3617021276595745,0.4895833333333333,M
5.1,131330.0,0,Florida,Harry Edwards,1920,0,T,Harry,0.0,0.0,M
54.08,140498.0,0,Idaho,Frank Gooding,1920,0,R,Frank,0.30612244897959184,0.5104166666666666,M
45.92,140498.0,1,Idaho,John Nugent,1920,2,D,John,0.3617021276595745,0.4895833333333333,M
66.83,2067045.0,0,Illinois,William McKinley,1920,0,R,William,0.30612244897959184,0.5104166666666666,M
26.82,2067045.0,0,Illinois,Peter Waller,1920,0,D,Peter,0.3617021276595745,0.4895833333333333,M
3.22,2067045.0,0,Illinois,Gustave Fraenckel,1920,0,S,Gustave,0.0,0.0,M
2.46,2067045.0,0,Illinois,John Fitzpatrick,1920,0,T,John,0.0,0.0,M
0.49,2067045.0,0,Illinois,Frank Vennum,1920,0,T,Frank,0.0,0.0,M
0.15,2067045.0,0,Illinois,Joseph Moody,1920,0,S,Joseph,0.0,0.0,M
0.04,2067045.0,0,Illinois,George Dodd Carrington,1920,0,T,Dodd,0.0,0.0,M
54.57,1249564.0,1,Indiana,James Eli Watson,1920,0,R,Eli,0.30612244897959184,0.5104166666666666,F
41.15,1249564.0,0,Indiana,Thomas Taggart,1920,0,D,Thomas,0.3617021276595745,0.4895833333333333,M
1.87,1249564.0,0,Indiana,Francis Wampler,1920,0,S,Francis,0.0,0.0,M
1.34,1249564.0,0,Indiana,Francis Dillon,1920,0,T,Francis,0.0,0.0,M
1.07,1249564.0,0,Indiana,Culla Bayhinger,1920,0,T,Culla,0.0,0.0,F
61.42,860467.0,1,Iowa,Albert Cummins,1920,2,R,Albert,0.30612244897959184,0.5104166666666666,M
37.42,860467.0,0,Iowa,Claude Porter,1920,0,D,Claude,0.3617021276595745,0.4895833333333333,M
1.05,860467.0,0,Iowa,Cowles,1920,0,T,Cowles,0.0,0.0,M
0.11,860467.0,0,Iowa,Arthur Dowler,1920,0,S,Arthur,0.0,0.0,M
64.01,510932.0,1,Kansas,Charles Curtis,1920,1,R,Charles,0.30612244897959184,0.5104166666666666,M
33.36,510932.0,0,Kansas,George Hodges,1920,0,D,George,0.3617021276595745,0.4895833333333333,M
2.63,510932.0,0,Kansas,Dan Beedy,1920,0,S,Dan,0.0,0.0,M
50.28,903470.0,0,Kentucky,Richard Ernst,1920,0,R,Richard,0.30612244897959184,0.5104166666666666,M
49.72,903470.0,1,Kentucky,Beckham,1920,0,D,Beckham,0.3617021276595745,0.4895833333333333,M
47.29,391210.0,0,Kentucky,Ovington Weller,1920,0,R,Ovington,0.30612244897959184,0.5104166666666666,
43.25,391210.0,1,Kentucky,John Walter Smith,1920,0,D,Walter,0.3617021276595745,0.4895833333333333,M
5.46,391210.0,0,Kentucky,Iverson,1920,0,I,Iverson,0.0,0.0,M
1.68,391210.0,0,Kentucky,William Toole,1920,0,S,William,0.0,0.0,M
1.67,391210.0,0,Kentucky,William Hawkins,1920,0,I,William,0.0,0.0,M
0.66,391210.0,0,Kentucky,Frank H .Lang,1920,0,T,Frank,0.0,0.0,M
53.65,1325494.0,1,Missouri,Selden Spencer,1920,1,R,Selden,0.30612244897959184,0.5104166666666666,F
44.47,1325494.0,0,Missouri,Breckinridge Long,1920,0,D,Breckinridge,0.3617021276595745,0.4895833333333333,
1.51,1325494.0,0,Missouri,Elias Hidges,1920,0,S,Elias,0.0,0.0,M
